       Step     Time          Energy          fmax
LBFGS:    0 15:07:14      -89.544142       11.491968
LBFGS:    1 15:07:15      -92.459953        6.582691
LBFGS:    2 15:07:16      -92.578693        7.551450
LBFGS:    3 15:07:18      -92.953737        3.740766
LBFGS:    4 15:07:19      -93.103701        3.468584
LBFGS:    5 15:07:20      -93.200652        2.168950
LBFGS:    6 15:07:22      -93.401582        1.101155
LBFGS:    7 15:07:23      -93.477973        0.973314
LBFGS:    8 15:07:24      -93.588327        0.707341
LBFGS:    9 15:07:25      -93.684292        0.615768
LBFGS:   10 15:07:26      -93.740984        0.488723
LBFGS:   11 15:07:27      -93.773063        0.525236
LBFGS:   12 15:07:28      -93.817376        0.679440
LBFGS:   13 15:07:28      -93.842635        0.473267
LBFGS:   14 15:07:29      -93.855715        0.281575
LBFGS:   15 15:07:30      -93.865605        0.282590
LBFGS:   16 15:07:31      -93.876626        0.347155
LBFGS:   17 15:07:32      -93.887071        0.346440
LBFGS:   18 15:07:32      -93.895648        0.201527
LBFGS:   19 15:07:33      -93.900291        0.061480
LBFGS:   20 15:07:34      -93.900838        0.047532
       Step     Time          Energy          fmax
LBFGS:    0 15:54:06      -89.544142       11.491968
LBFGS:    1 15:54:07      -92.459953        6.582691
LBFGS:    2 15:54:09      -92.578693        7.551450
LBFGS:    3 15:54:11      -92.953737        3.740766
LBFGS:    4 15:54:12      -93.103701        3.468585
LBFGS:    5 15:54:14      -93.200652        2.168951
LBFGS:    6 15:54:15      -93.401581        1.101157
LBFGS:    7 15:54:17      -93.477973        0.973315
LBFGS:    8 15:54:18      -93.588327        0.707341
LBFGS:    9 15:54:20      -93.684292        0.615765
LBFGS:   10 15:54:22      -93.740984        0.488725
LBFGS:   11 15:54:23      -93.773063        0.525233
LBFGS:   12 15:54:25      -93.817377        0.679604
LBFGS:   13 15:54:26      -93.842636        0.473184
LBFGS:   14 15:54:28      -93.855713        0.281576
LBFGS:   15 15:54:30      -93.865605        0.282589
LBFGS:   16 15:54:31      -93.876625        0.347089
LBFGS:   17 15:54:33      -93.887072        0.346434
LBFGS:   18 15:54:34      -93.895645        0.201444
LBFGS:   19 15:54:36      -93.900290        0.061526
LBFGS:   20 15:54:38      -93.900836        0.047539
